Volkswagen Golf,Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),Country,Capital
18991.75,18262.15, Sweden,Gothenburg
24000.0,25618.07, Ireland,Dublin
20969.6,19737.85, Russia,Moscow
20780.4,20430.09, Dominican Republic,Santo Domingo
15534.8,15167.61, Australia,Adelaide
22606.84,21449.95, Switzerland,Zurich
16043.44,19843.59, Armenia,Yerevan
16000.78,16737.32, Philippines,Manila
15479.87,14810.45, Australia,Brisbane
26244.34,27582.69, Indonesia,Jakarta
24198.72,20134.24, Turkey,Ankara
20706.61,20334.03, Ukraine,Lviv
18196.16,18129.31, Russia,Novosibirsk
22948.67,20892.07, Turkey,Bursa
20200.0,21788.33, Belgium,Brussels
34229.98,34921.49, Israel,Jerusalem
15479.87,15221.84, Australia,Melbourne
16149.98,15239.2, Australia,Perth
15845.5,15066.62, Australia,Sydney
23626.73,23071.86, Egypt,Alexandria
21563.64,25324.92, Ecuador,Quito
