Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter draught),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Country,Capital
1.25,1.88,0.59,1.01,3.71,0.02,7.53,29.81,9.2,6.27, Romania,Brasov
1.78,2.09,0.72,1.23,3.98,0.07,8.47,35.84,13.26,6.28, Romania,Bucharest
0.9,1.8,0.51,1.46,1.17,0.02,35.48,24.77,5.75,3.59, Uzbekistan,Tashkent
1.9,3.8,1.59,2.99,3.16,0.01,7.34,18.18,7.92,3.16, India,Ahmedabad
1.57,2.09,0.73,1.27,3.87,0.07,7.34,26.21,11.89,5.23, Romania,Cluj-Napoca
3.0,3.0,0.99,1.69,5.0,0.17,41.89,35.57,11.08,9.0, Spain,Madrid
4.0,4.0,1.42,1.53,4.25,0.04,22.88,45.44,23.03,8.0, Estonia,Tallinn
1.9,3.8,1.57,2.99,3.8,0.01,12.42,20.0,5.18,3.8, India,Bangalore
1.26,1.88,0.81,1.3,3.77,0.07,6.8,28.32,8.57,5.02, Romania,Iasi
1.9,3.16,1.49,2.59,3.8,0.01,11.19,17.63,5.58,2.53, India,Chennai
11.13,11.13,7.58,8.42,5.19,0.15,78.31,95.89,24.29,8.66, Qatar,Doha
1.9,3.1,1.36,2.39,3.8,0.01,9.76,21.35,7.29,3.8, India,Delhi
1.96,3.16,1.49,2.38,3.8,0.01,12.81,29.15,7.54,4.43, India,Gurgaon
2.0,2.5,0.69,1.0,5.0,0.18,35.26,31.35,11.62,8.0, Spain,Valencia
4.0,4.0,0.97,1.54,5.5,0.04,30.86,27.44,18.33,10.0, Austria,Vienna
1.52,2.53,1.44,2.36,3.8,0.01,9.47,18.1,7.02,2.53, India,Hyderabad
1.92,2.4,1.56,1.86,3.6,0.16,28.65,40.13,12.75,7.21, Uruguay,Montevideo
7.77,7.77,2.25,3.11,9.07,0.04,24.84,67.82,16.66,10.36, Israel,Tel Aviv-Yafo
1.25,1.67,0.68,1.11,3.61,0.03,7.53,25.3,10.45,5.23, Romania,Timisoara
1.77,2.1,1.41,2.09,3.31,0.13,20.55,40.35,12.08,9.02, Taiwan,Taipei
1.87,3.48,1.53,2.73,3.8,0.01,7.72,15.18,7.07,3.16, India,Kolkata
1.62,1.95,0.73,0.93,2.27,0.1,15.11,22.03,8.51,4.06, Macedonia,Skopje
1.3,2.93,0.66,2.01,2.73,0.03,14.26,44.9,11.8,7.81, China,Shanghai
2.37,4.45,1.79,3.52,4.38,0.05,20.69,61.07,8.37,7.42, Thailand,Bangkok
2.28,3.92,1.7,3.28,3.8,0.01,9.09,24.63,8.89,3.8, India,Mumbai
8.73,7.28,2.46,2.4,10.18,0.15,59.63,54.44,33.0,11.57, Iceland,Reykjavik
6.34,6.34,4.44,5.88,3.17,0.05,38.86,56.38,26.48,10.14, Jordan,Amman
2.28,3.54,1.62,2.61,3.8,0.01,11.7,16.08,5.09,3.54, India,Pune
6.55,6.65,1.82,1.88,6.17,0.12,27.98,37.83,26.69,12.82, Sweden,Stockholm
1.5,1.95,0.99,1.51,1.62,0.13,24.79,25.9,9.29,5.99, Argentina,Buenos Aires
1.8,2.7,0.85,1.77,1.37,0.04,12.84,31.85,15.41,4.04, Belarus,Minsk
2.36,3.81,1.89,3.37,3.46,0.06,65.3,53.68,24.9,5.5, Costa Rica,San Jose
2.58,2.81,2.08,2.03,3.28,0.13,31.63,24.49,15.63,5.63, Morocco,Casablanca
1.77,1.65,0.69,1.0,3.78,0.06,12.53,26.35,10.48,5.9, Poland,Lodz
4.81,5.5,1.77,2.11,8.25,0.23,42.59,23.04,11.17,8.94, Canada,Montreal
1.97,3.29,1.17,2.45,2.19,0.37,24.2,25.41,31.8,7.68, Brazil,Sao Paulo
6.31,6.17,1.56,1.79,6.17,0.08,30.42,32.03,20.7,12.34, Sweden,Gothenburg
5.8,5.5,2.42,2.69,12.7,0.26,54.01,40.22,15.94,12.0, Ireland,Dublin
2.93,2.57,0.93,2.01,2.2,0.03,6.79,41.55,25.26,6.6, Russia,Moscow
1.7,2.55,1.87,2.77,3.4,0.15,50.03,22.49,13.09,5.1, Dominican Republic,Santo Domingo
4.97,5.59,3.41,4.07,18.64,0.32,41.95,34.05,1.42,9.32, Australia,Adelaide
6.24,5.55,1.79,2.55,7.86,0.26,48.71,76.33,32.9,16.64, Switzerland,Zurich
1.13,1.69,0.75,1.23,1.13,0.03,14.09,43.14,11.31,4.7, Armenia,Yerevan
1.25,2.32,0.87,1.48,1.78,0.14,45.47,43.97,5.35,5.35, Philippines,Manila
4.95,5.57,3.36,3.69,18.58,0.18,47.06,40.03,13.15,9.29, Australia,Brisbane
2.62,3.44,2.11,2.79,1.64,0.12,26.47,38.09,9.24,3.28, Indonesia,Jakarta
2.75,3.06,1.74,2.37,2.44,0.11,14.11,20.81,9.5,3.06, Turkey,Ankara
1.5,1.5,0.62,1.32,1.54,0.03,4.44,17.16,8.84,3.75, Ukraine,Lviv
1.1,2.2,0.9,1.5,1.91,0.03,7.96,27.49,17.31,4.4, Russia,Novosibirsk
2.37,3.06,1.64,2.14,2.29,0.12,12.93,23.4,8.21,3.06, Turkey,Bursa
4.0,4.0,1.24,1.87,6.7,0.23,43.43,26.11,16.94,11.0, Belgium,Brussels
7.26,7.26,2.02,3.04,9.08,0.13,24.16,71.27,16.6,10.37, Israel,Jerusalem
5.57,5.57,3.13,3.37,19.01,0.12,43.28,46.28,14.14,12.38, Australia,Melbourne
5.9,5.59,2.99,3.96,18.64,0.32,43.78,39.32,11.99,11.19, Australia,Perth
4.97,4.97,3.42,3.73,20.82,0.38,43.51,47.37,13.5,12.43, Australia,Sydney
1.69,2.81,1.31,1.97,2.25,0.01,16.57,19.58,7.52,3.66, Egypt,Alexandria
1.35,2.7,1.26,2.55,4.49,0.11,36.77,40.91,16.73,5.39, Ecuador,Quito
